id,catalogObjectType,attribute:name,attribute:archived
administrative,Tags,Administrative,false
agentforce,Tags,Agentforce,false
agile,Tags,Agile,false
ai,Tags,AI,false
airline,Tags,Airline,false
analysis,Tags,Analysis,false
android,Tags,Android,false
apache,Tags,Apache,false
architect,Tags,Architect,false
audit,Tags,Audit,false
aws,Tags,AWS,false
awt,Tags,AWT,false
azure,Tags,Azure,false
azure-devops,Tags,Azure DevOps,false
backoffice,Tags,Backoffice,false
banking,Tags,Banking,false
bitbucket,Tags,Bitbucket,false
bizagi,Tags,Bizagi,false
blog,Tags,Blog,false
bootable-usb,Tags,Bootable Usb,false
bootstrap,Tags,Bootstrap,false
bpmn,Tags,BPMN,false
build,Tags,Build,false
chosen,Tags,Chosen,false
ci-cd,Tags,Ci Cd,false
cli,Tags,Cli,false
cloud,Tags,Cloud,false
commerce,Tags,Commerce,false
composer,Tags,Composer,false
computer-basics,Tags,Computer Basics,false
configuration,Tags,Configuration,false
credit,Tags,Credit,false
cronjob,Tags,Cronjob,false
css,Tags,CSS,false
custom-rom,Tags,Custom Rom,false
customer-experience,Tags,Customer Experience,false
cyanogenmod,Tags,Cyanogenmod,false
data-cloud,Tags,Data Cloud,false
data-extraction,Tags,Data Extraction,false
database,Tags,Database,false
debugging,Tags,Debugging,false
delivery,Tags,Delivery,false
dev,Tags,Dev,false
devops,Tags,Devops,false
di,Tags,Di,false
diaspora,Tags,Diaspora,false
display,Tags,Display,false
docker,Tags,Docker,false
doctrine,Tags,Doctrine,false
dotnet,Tags,.NET,false
dotnet-to-java,Tags,.NET to Java,false
dwr,Tags,DWR,false
e-learning,Tags,E-Learning,false
ec2,Tags,Amazon EC2,false
eclipse,Tags,Eclipse,false
ecr,Tags,Ecr,false
ecs,Tags,Amazon ECS,false
education,Tags,Education,false
ejb,Tags,EJB,false
elastic-beanstalk,Tags,Elastic Beanstalk,false
electron,Tags,Electron,false
email,Tags,Email,false
email-marketing,Tags,Email Marketing,false
enterprise-architect,Tags,Enterprise Architect,false
entrepreneurship,Tags,Entrepreneurship,false
errands,Tags,Errands,false
error-handling,Tags,Error Handling,false
excel,Tags,Excel,false
finance,Tags,Finance,false
foundation,Tags,Foundation,false
frontend,Tags,Frontend,false
git,Tags,Git,false
github,Tags,Github,false
github-pages,Tags,Github Pages,false
global-team,Tags,Global Team,false
government,Tags,Government,false
hardware,Tags,Hardware,false
healthcare,Tags,Healthcare,false
helpdesk,Tags,Helpdesk,false
hibernate,Tags,Hibernate,false
html,Tags,HTML,false
hybris,Tags,Hybris,false
ibm,Tags,IBM,false
ibm-mq,Tags,IBM MQ,false
ide,Tags,Ide,false
infrastructure,Tags,Infrastructure,false
installer,Tags,Installer,false
instructor,Tags,Instructor,false
insurance,Tags,Insurance,false
integration,Tags,Integration,false
intellij,Tags,Intellij,false
internet,Tags,Internet,false
internship,Tags,Internship,false
ios,Tags,iOS,false
itext,Tags,iText,false
j2ee,Tags,Java EE,false
j2se,Tags,Java SE,false
jar,Tags,Jar,false
java,Tags,Java,false
java-web-start,Tags,Java Web Start,false
javaee,Tags,Java EE,false
javascript,Tags,JavaScript,false
jboss,Tags,JBoss,false
jdbc,Tags,JDBC,false
jekyll,Tags,Jekyll,false
jenkins,Tags,Jenkins,false
jira,Tags,Jira,false
jms,Tags,JMS,false
jpa,Tags,JPA,false
jquery,Tags,jQuery,false
jsf,Tags,JSF,false
jsp,Tags,JSP,false
jstl,Tags,JSTL,false
jude,Tags,JUDE,false
jvm,Tags,Jvm,false
